Epoch,loss,accuracy,F1_score,val_loss,val_accuracy,val_F1_score
1,5.22620964050293,0.7529000043869019,0.665161669254303,2.0017786026000977,0.9380000233650208,0.9292449951171875
2,1.4350088834762573,0.9466500282287598,0.9129009246826172,0.9752090573310852,0.9539999961853027,0.947070300579071
3,0.8573551774024963,0.9713000059127808,0.956363320350647,0.7655476331710815,0.9599999785423279,0.9538812041282654
4,0.6558598279953003,0.9834499955177307,0.9766389727592468,0.6790977716445923,0.9580000042915344,0.9567691683769226
5,0.5394408106803894,0.9906499981880188,0.9861012101173401,0.6233488321304321,0.9539999961853027,0.9547693133354187
6,0.46741783618927,0.9922999739646912,0.9888176321983337,0.5441991686820984,0.9639999866485596,0.9627124667167664
7,0.4048250615596771,0.9941499829292297,0.9919351935386658,0.49205225706100464,0.9620000123977661,0.9620000720024109
8,0.35872623324394226,0.9964500069618225,0.9945030808448792,0.4556533098220825,0.9739999771118164,0.9708717465400696
9,0.3271600604057312,0.996150016784668,0.9948264956474304,0.4477792978286743,0.9660000205039978,0.9677948951721191
10,0.29749757051467896,0.9971500039100647,0.9962721467018127,0.46656548976898193,0.9620000123977661,0.9609742760658264
11,0.2847915589809418,0.9987000226974487,0.9979952573776245,0.3835693299770355,0.9739999771118164,0.9719486832618713
12,0.2635185420513153,0.9991000294685364,0.9984733462333679,0.38964900374412537,0.972000002861023,0.9720000624656677
13,0.2632139325141907,0.9993000030517578,0.9986284375190735,0.381888747215271,0.9679999947547913,0.9679999351501465
14,0.2534896433353424,0.9992499947547913,0.9988241791725159,0.36947527527809143,0.9700000286102295,0.970974326133728
15,0.24437524378299713,0.9997000098228455,0.9990578889846802,0.36270076036453247,0.9679999947547913,0.968000054359436
